name,cagr,maxdd,calmar,sharpe,tpy,def_frac,lev
df=0.33 lev=1.0,39.4360429153197,-47.20368293321805,0.8354441955538151,0.9829201251116565,30.902410678708993,0.333,1.0
df=0.33 lev=1.1,39.86302718472843,-47.20368293321805,0.8444897666380207,0.9843867039488807,31.46030349315978,0.333,1.1
df=0.33 lev=1.2,40.260365678896505,-47.20368293321805,0.8529072982685549,0.9852549453163062,31.46030349315978,0.333,1.2
df=0.33 lev=1.3,40.63074072881503,-47.20368293321805,0.8607536150579147,0.9855991968379749,31.46030349315978,0.333,1.3
df=0.33 lev=1.4,40.97641910921315,-47.77496276388262,0.8576965158869971,0.9854827712529652,31.46030349315978,0.333,1.4
df=0.40 lev=1.0,39.38593539147772,-47.20368293321805,0.8343826783007466,0.9766213775676699,30.441542701553992,0.4,1.0
df=0.40 lev=1.1,39.81276622047025,-47.20368293321805,0.8434249987823158,0.978235863238198,30.999435516004784,0.4,1.1
df=0.40 lev=1.2,40.20996192768269,-47.20368293321805,0.8518395055015134,0.9792567506120264,30.999435516004784,0.4,1.2
df=0.40 lev=1.3,40.58020388018786,-47.20368293321805,0.8596830026504323,0.97975701148604,30.999435516004784,0.4,1.3
df=0.40 lev=1.4,40.92575803813012,-47.774962763882634,0.8566361054093706,0.9797988190366566,30.999435516004784,0.4,1.4
df=0.45 lev=1.0,39.5178855922143,-47.203682933218104,0.8371780152858546,0.9769832359056946,30.63559237614557,0.45,1.0
df=0.45 lev=1.1,39.945120482157506,-47.203682933218104,0.8462288957128679,0.9786209093704162,31.193485190596363,0.45,1.1
df=0.45 lev=1.2,40.34269219612527,-47.203682933218104,0.8546513680553383,0.979666497756191,31.193485190596363,0.45,1.2
df=0.45 lev=1.3,40.713284639516154,-47.203682933218104,0.8625022902792499,0.9801925742972993,31.193485190596363,0.45,1.3
df=0.45 lev=1.4,41.05916591755396,-47.77496276388257,0.8594285278772487,0.9802609807305765,31.193485190596363,0.45,1.4
df=0.50 lev=1.0,39.77136340643108,-47.203682933218104,0.8425478889581143,0.9756834849379675,30.417286492230044,0.5,1.0
df=0.50 lev=1.1,40.19937450198836,-47.203682933218104,0.851615213136247,0.977413558815997,30.975179306680836,0.5,1.1
df=0.50 lev=1.2,40.59766852914643,-47.203682933218104,0.8600529875302824,0.9785563037824233,30.975179306680836,0.5,1.2
df=0.50 lev=1.3,40.968934269456334,-47.203682933218104,0.8679181734064597,0.9791830485398535,30.975179306680836,0.5,1.3
df=0.50 lev=1.4,41.31544394886335,-47.77496276388257,0.8647928027292456,0.979354598934914,30.975179306680836,0.5,1.4
df=0.55 lev=1.0,39.755368717122444,-47.20368293321807,0.8422090448613254,0.9725046581618396,30.029187143046887,0.55,1.0
df=0.55 lev=1.1,40.183330833372864,-47.20368293321807,0.8512753314232424,0.9743091431185534,30.587079957497675,0.55,1.1
df=0.55 lev=1.2,40.581579281886924,-47.20368293321807,0.8597121402433823,0.9755291395636922,30.587079957497675,0.55,1.2
df=0.55 lev=1.3,40.95280253652578,-47.20368293321807,0.8675764260696396,0.9762352358779314,30.587079957497675,0.55,1.3
df=0.55 lev=1.4,41.29927256321333,-47.77496276388262,0.8644543119232979,0.976487621211298,30.587079957497675,0.55,1.4
df=0.60 lev=1.0,39.87048469704653,-47.20368293321807,0.8446477524529967,0.9684994975373719,30.077699561694782,0.6,1.0
df=0.60 lev=1.1,40.29879932410807,-47.20368293321807,0.8537215068815973,0.9704240357063212,30.63559237614557,0.6,1.1
df=0.60 lev=1.2,40.697375808395094,-47.20368293321807,0.8621652650699344,0.9717696559548871,30.63559237614557,0.6,1.2
df=0.60 lev=1.3,41.06890483825476,-47.20368293321807,0.8700360286793182,0.9726055660223024,30.63559237614557,0.6,1.3
df=0.60 lev=1.4,41.41566025102088,-47.77496276388267,0.8668904768321589,0.9729908020088239,30.63559237614557,0.6,1.4
df=0.67 lev=1.0,39.90393011062912,-47.20368293321807,0.8453562864381502,0.9622486980809279,29.907906096427148,0.667,1.0
df=0.67 lev=1.1,40.33234715500819,-47.20368293321807,0.854432210555876,0.9643231944310675,30.46579891087794,0.667,1.1
df=0.67 lev=1.2,40.73101894571667,-47.20368293321807,0.8628779877905146,0.9658256310498577,30.46579891087794,0.667,1.2
df=0.67 lev=1.3,41.10263681449104,-47.20368293321807,0.8707506334334432,0.9668235894527175,30.46579891087794,0.667,1.3
df=0.67 lev=1.4,41.449475142378375,-47.77496276388258,0.8675982720747151,0.9673747442175736,30.46579891087794,0.667,1.4
