date,target_alloc,action,equity
1985-02-04,0.8,TRADE,1000000.0
1985-02-05,0.8,HOLD,1009742.9293519692
1985-02-06,0.8,HOLD,1016828.5022982148
1985-02-07,0.8,HOLD,1043179.9874008411
1985-02-08,0.8,HOLD,1044286.5060703164
1985-02-11,0.8,HOLD,1027144.4016835144
1985-02-12,0.8,HOLD,1010446.6068748881
1985-02-13,0.8,HOLD,1027231.6317254861
1985-02-14,0.8,HOLD,1009736.6461427072
1985-02-15,0.8,HOLD,990248.6456443141
1985-02-19,0.8,HOLD,972353.2077065371
1985-02-20,0.8,HOLD,979040.308711593
1985-02-21,0.8,HOLD,974167.8776236144
1985-02-22,0.8,HOLD,968099.6414003274
1985-02-25,0.8,HOLD,942587.233645027
1985-02-26,0.8,HOLD,961764.0114137626
1985-02-27,0.8,HOLD,940548.8372380852
1985-02-28,0.8,HOLD,939263.916733754
1985-03-01,0.8,HOLD,962426.7719091539
1985-03-04,0.8,HOLD,966942.7987093758
1985-03-05,0.8,HOLD,957021.4867357265
1985-03-06,0.8,HOLD,918267.7644365734
1985-03-07,0.8,HOLD,884563.0468613269
1985-03-08,0.8,HOLD,870124.2415025145
1985-03-11,0.8,HOLD,860290.6928660375
1985-03-12,0.8,HOLD,868040.9308464903
1985-03-13,0.8,HOLD,817727.7337692654
1985-03-14,0.8,HOLD,805414.878417708
1985-03-15,0.8,HOLD,814759.564594596
1985-03-18,0.8,HOLD,814492.7338015463
1985-03-19,0.8,HOLD,833403.9754171306
1985-03-20,0.8,HOLD,829594.7482742759
1985-03-21,0.8,HOLD,829771.5795300229
1985-03-22,0.8,HOLD,823570.7422307997
1985-03-25,0.8,HOLD,786898.199758248
1985-03-26,0.8,HOLD,789998.1813674453
1985-03-27,0.8,HOLD,806916.4751661937
1985-03-28,0.8,HOLD,806694.7685839175
1985-03-29,0.8,HOLD,821354.3205497914
1985-04-01,0.8,HOLD,842479.6873652274
1985-04-02,0.8,HOLD,829768.4090702385
1985-04-03,0.8,HOLD,801112.9450554808
1985-04-04,0.4,TRADE,797303.8616741484
1985-04-08,0.4,HOLD,790666.7153236591
1985-04-09,0.4,HOLD,792053.4854588128
1985-04-10,0.4,HOLD,806408.0327312303
1985-04-11,0.4,HOLD,807438.5951956648
1985-04-12,0.4,HOLD,809466.6910030261
1985-04-15,0.4,HOLD,811561.0419275807
1985-04-16,0.4,HOLD,815584.2743429681
1985-04-17,0.4,HOLD,820605.0602862401
1985-04-18,0.4,HOLD,816078.1502988295
1985-04-19,0.4,HOLD,813261.3140211521
1985-04-22,0.4,HOLD,804668.4477624171
1985-04-23,0.4,HOLD,810045.6167580275
1985-04-24,0.4,HOLD,809722.6846397311
1985-04-25,0.4,HOLD,813959.8718453824
1985-04-26,0.4,HOLD,811143.1900413904
1985-04-29,0.4,HOLD,797634.4364117468
1985-04-30,0.4,HOLD,790614.009787024
1985-05-01,0.4,HOLD,786016.1572829771
1985-05-02,0.4,HOLD,782202.0966079067
1985-05-03,0.4,HOLD,789428.3696353446
1985-05-06,0.30000000000000004,TRADE,782749.2477760203
1985-05-07,0.30000000000000004,HOLD,785921.267131629
1985-05-08,0.30000000000000004,HOLD,786536.637807375
1985-05-09,0.30000000000000004,HOLD,795544.5877399433
1985-05-10,0.8,TRADE,815890.84782629
1985-05-13,0.8,HOLD,822503.2274408003
1985-05-14,0.8,HOLD,811959.6036387347
1985-05-15,0.8,HOLD,815926.7405411296
1985-05-16,0.8,HOLD,827895.1412543139
1985-05-17,0.8,HOLD,845152.5154068086
1985-05-20,0.8,HOLD,873463.36942488
1985-05-21,0.8,HOLD,863462.2541918284
1985-05-22,0.8,HOLD,853732.3752156282
1985-05-23,0.8,HOLD,836814.9339720623
1985-05-24,0.8,HOLD,832238.421148206
1985-05-28,0.8,HOLD,807287.330695164
1985-05-29,0.8,HOLD,807321.7476410993
1985-05-30,0.8,HOLD,792845.4183232128
1985-05-31,0.8,HOLD,807119.3741922799
1985-06-03,0.8,HOLD,808985.7005817676
1985-06-04,0.7000000000000001,TRADE,813766.6690934219
1985-06-05,0.8,TRADE,808467.5900254478
1985-06-06,0.8,HOLD,810136.8977776057
1985-06-07,0.6000000000000001,TRADE,798042.1626740815
1985-06-10,0.6000000000000001,HOLD,796602.5604216957
1985-06-11,0.6000000000000001,HOLD,787743.8869647734
1985-06-12,0.30000000000000004,TRADE,768629.8294248092
1985-06-13,0.30000000000000004,HOLD,755888.355709699
1985-06-14,0.30000000000000004,HOLD,760629.2959253887
1985-06-17,0.30000000000000004,HOLD,756790.6346187405
1985-06-18,0.30000000000000004,HOLD,757687.6370412742
1985-06-19,0.30000000000000004,HOLD,758900.612091358
1985-06-20,0.30000000000000004,HOLD,755532.3624365809
1985-06-21,0.30000000000000004,HOLD,762485.0867715237
1985-06-24,0.30000000000000004,HOLD,771337.3984571785
1985-06-25,0.8,TRADE,785188.3968450653
1985-06-26,0.8,HOLD,805408.7524495063
1985-06-27,0.8,HOLD,824013.9849324841
1985-06-28,0.8,HOLD,823641.4539364586
