group,param,value,bull_ma,bull_mom,risk_ma,risk_mom,rv252,vxn,cb,cagr,dd,calmar,sharpe,tpy,roll_pass_25_50,roll_median_cagr,roll_worst_dd
OAT,cb,-0.05,40,15,300,126,0.16,0.4,-0.05,39.5037,-47.2035,0.8369,0.9838,30.7589,30,39.0248,-47.2035
OAT,cb,-0.055,40,15,300,126,0.16,0.4,-0.055,38.8264,-47.2035,0.8225,0.9721,30.5649,30,38.9134,-47.2035
OAT,cb,-0.06,40,15,300,126,0.16,0.4,-0.06,38.9758,-47.2035,0.8257,0.9746,30.4193,30,39.2633,-47.2035
PAIR_MA_MOM,risk_ma_mom,275/105,40,15,275,105,0.16,0.4,-0.0475,39.4054,-47.2035,0.8348,0.983,30.9772,30,39.0412,-47.2035
PAIR_MA_MOM,risk_ma_mom,275/126,40,15,275,126,0.16,0.4,-0.0475,39.4565,-47.2035,0.8359,0.9834,30.953,30,39.3585,-47.2035
PAIR_MA_MOM,risk_ma_mom,275/147,40,15,275,147,0.16,0.4,-0.0475,38.9432,-47.2035,0.825,0.9742,30.7104,30,38.1853,-47.2035
PAIR_MA_MOM,risk_ma_mom,300/105,40,15,300,105,0.16,0.4,-0.0475,39.4868,-47.2035,0.8365,0.9843,30.9287,30,39.2316,-47.2035
PAIR_MA_MOM,risk_ma_mom,300/126,40,15,300,126,0.16,0.4,-0.0475,39.5379,-47.2035,0.8376,0.9847,30.9045,30,39.5495,-47.2035
PAIR_MA_MOM,risk_ma_mom,300/147,40,15,300,147,0.16,0.4,-0.0475,38.4157,-47.2035,0.8138,0.9651,30.7589,28,36.9643,-47.2035
PAIR_MA_MOM,risk_ma_mom,325/105,40,15,325,105,0.16,0.4,-0.0475,39.4868,-47.2035,0.8365,0.9843,30.9287,30,39.2316,-47.2035
PAIR_MA_MOM,risk_ma_mom,325/126,40,15,325,126,0.16,0.4,-0.0475,39.5379,-47.2035,0.8376,0.9847,30.9045,30,39.5495,-47.2035
PAIR_MA_MOM,risk_ma_mom,325/147,40,15,325,147,0.16,0.4,-0.0475,38.4157,-47.2035,0.8138,0.9651,30.7589,28,36.9643,-47.2035
PAIR_RV_VXN,rv_vxn,0.15/0.35,40,15,300,126,0.15,0.35,-0.0475,38.64,-47.2035,0.8186,0.9722,31.802,28,38.9389,-47.2035
PAIR_RV_VXN,rv_vxn,0.15/0.4,40,15,300,126,0.15,0.4,-0.0475,38.64,-47.2035,0.8186,0.9722,31.802,28,38.9389,-47.2035
PAIR_RV_VXN,rv_vxn,0.15/0.45,40,15,300,126,0.15,0.45,-0.0475,38.64,-47.2035,0.8186,0.9722,31.802,28,38.9389,-47.2035
PAIR_RV_VXN,rv_vxn,0.16/0.35,40,15,300,126,0.16,0.35,-0.0475,39.5379,-47.2035,0.8376,0.9847,30.9045,30,39.5495,-47.2035
PAIR_RV_VXN,rv_vxn,0.16/0.4,40,15,300,126,0.16,0.4,-0.0475,39.5379,-47.2035,0.8376,0.9847,30.9045,30,39.5495,-47.2035
PAIR_RV_VXN,rv_vxn,0.16/0.45,40,15,300,126,0.16,0.45,-0.0475,39.5379,-47.2035,0.8376,0.9847,30.9045,30,39.5495,-47.2035
PAIR_RV_VXN,rv_vxn,0.17/0.35,40,15,300,126,0.17,0.35,-0.0475,39.4086,-50.7511,0.7765,0.979,29.9342,23,40.2536,-50.7511
PAIR_RV_VXN,rv_vxn,0.17/0.4,40,15,300,126,0.17,0.4,-0.0475,39.4086,-50.7511,0.7765,0.979,29.9342,23,40.2536,-50.7511
PAIR_RV_VXN,rv_vxn,0.17/0.45,40,15,300,126,0.17,0.45,-0.0475,39.4398,-50.7511,0.7771,0.9796,29.9099,23,40.2536,-50.7511
PAIR_RV_VXN,rv_vxn,0.18/0.35,40,15,300,126,0.18,0.35,-0.0475,38.9171,-50.1948,0.7753,0.966,29.0609,23,37.8623,-50.1948
PAIR_RV_VXN,rv_vxn,0.18/0.4,40,15,300,126,0.18,0.4,-0.0475,39.0441,-50.1948,0.7779,0.9673,29.0609,23,37.8623,-50.1948
PAIR_RV_VXN,rv_vxn,0.18/0.45,40,15,300,126,0.18,0.45,-0.0475,39.0751,-50.1948,0.7785,0.9678,29.0366,23,37.8623,-50.1948
