bull_ma,bull_mom,blend_lo,blend_w,riskon_rv,def_frac,lev,A_cagr,A_dd,A_calmar,B_cagr,B_dd,B_calmar
30,10,0.28,0.1,0.18,0.5,1.3,34.57,-52.42,0.66,45.45,-64.26,0.707
30,10,0.28,0.1,0.18,0.6666666666666666,1.0,34.82,-52.42,0.664,44.45,-58.6,0.759
30,10,0.28,0.1,0.18,0.6666666666666666,1.3,34.88,-52.42,0.665,46.01,-64.26,0.716
30,10,0.28,0.14,0.14,0.3333333333333333,1.0,31.31,-52.42,0.597,42.55,-51.47,0.827
30,10,0.28,0.14,0.14,0.3333333333333333,1.3,30.83,-52.42,0.588,45.33,-51.47,0.881
30,10,0.28,0.14,0.14,0.5,1.0,31.32,-52.42,0.598,42.87,-51.47,0.833
30,10,0.28,0.14,0.14,0.5,1.3,30.84,-52.42,0.588,45.65,-51.47,0.887
30,10,0.28,0.14,0.14,0.6666666666666666,1.0,31.8,-52.42,0.607,43.21,-51.47,0.839
30,10,0.28,0.14,0.14,0.6666666666666666,1.3,31.32,-52.42,0.597,46.0,-51.47,0.894
30,10,0.28,0.14,0.16,0.3333333333333333,1.0,33.26,-52.42,0.635,44.73,-53.66,0.834
30,10,0.28,0.14,0.16,0.3333333333333333,1.3,33.58,-52.42,0.641,47.22,-55.86,0.845
30,10,0.28,0.14,0.16,0.5,1.0,33.27,-52.42,0.635,45.05,-53.66,0.84
30,10,0.28,0.14,0.16,0.5,1.3,33.59,-52.42,0.641,47.55,-55.86,0.851
30,10,0.28,0.14,0.16,0.6666666666666666,1.0,33.76,-52.42,0.644,45.4,-53.66,0.846
30,10,0.28,0.14,0.16,0.6666666666666666,1.3,34.07,-52.42,0.65,47.9,-55.86,0.857
30,10,0.28,0.14,0.18,0.3333333333333333,1.0,33.05,-52.42,0.63,43.61,-58.6,0.744
30,10,0.28,0.14,0.18,0.3333333333333333,1.3,33.11,-52.42,0.632,45.16,-64.26,0.703
30,10,0.28,0.14,0.18,0.5,1.0,33.06,-52.42,0.631,43.92,-58.6,0.75
30,10,0.28,0.14,0.18,0.5,1.3,33.12,-52.42,0.632,45.48,-64.26,0.708
