Date,bond_tr
1953-04-01,1.0
1953-05-01,0.9835793558574956
1953-06-01,0.9811016431685147
1953-07-01,0.9984913468459077
1953-08-01,0.9992339639931891
1953-09-01,1.0084695579996914
1953-10-01,1.0289194128458246
1953-11-01,1.029427287142908
1953-12-01,1.0396996095114086
1954-01-01,1.051834467108862
1954-02-01,1.054923411599768
1954-03-01,1.0662782329686884
1954-04-01,1.0758507944027527
1954-05-01,1.0703369995044048
1954-06-01,1.0715140296257257
1954-07-01,1.0811384076924349
1954-08-01,1.0775106739687015
1954-09-01,1.0777424130469038
1954-10-01,1.0751656860112868
1954-11-01,1.0726527995579553
1954-12-01,1.0720698163186915
1955-01-01,1.0649999480650842
1955-02-01,1.0636361560190146
1955-03-01,1.063234443678971
1955-04-01,1.0592039102729873
1955-05-01,1.0607231805621375
1955-06-01,1.0613450854260216
1955-07-01,1.0529028032660834
1955-08-01,1.0491799819291496
1955-09-01,1.0517767023844242
1955-10-01,1.062398706408284
1955-11-01,1.0640440724714093
1955-12-01,1.0602695492814513
1956-01-01,1.0682768767097293
1956-02-01,1.0763089883697423
1956-03-01,1.0678375303228858
1956-04-01,1.050559759276212
1956-05-01,1.0630225674825151
1956-06-01,1.072011639419395
1956-07-01,1.064718526315158
1956-08-01,1.0477850008487495
1956-09-01,1.0463401190079606
1956-10-01,1.0527551495466496
1956-11-01,1.0425729884785055
1956-12-01,1.0370176782292542
1957-01-01,1.0511648989604117
1957-02-01,1.0646023878406123
1957-03-01,1.061377582536407
1957-04-01,1.0582476552252376
1957-05-01,1.0508510723124758
1957-06-01,1.0367941678613364
1957-07-01,1.029158231422421
1957-08-01,1.0325287246303294
1957-09-01,1.0367409573669444
1957-10-01,1.0359549737009817
1957-11-01,1.0601744024121502
1957-12-01,1.1074510164919669
1958-01-01,1.1215259360985719
1958-02-01,1.1281895171992375
1958-03-01,1.137718057245736
1958-04-01,1.1501760336840496
1958-05-01,1.149020003126806
1958-06-01,1.1469359213008234
1958-07-01,1.1274278883366486
1958-08-01,1.0983637150151835
1958-09-01,1.0817538304016554
1958-10-01,1.0816304119293323
1958-11-01,1.0903131053954764
1958-12-01,1.0830777655370385
1959-01-01,1.0725676757019014
1959-02-01,1.0813135386999024
1959-03-01,1.0822761861124166
1959-04-01,1.0745914064872242
1959-05-01,1.062019516390623
1959-06-01,1.0633217883076196
1959-07-01,1.0621449752487913
1959-08-01,1.063538968312338
1959-09-01,1.0466330033565951
1959-10-01,1.0628548934343285
1959-11-01,1.0668671706570432
1959-12-01,1.0575904964768603
1960-01-01,1.05927177507778
1960-02-01,1.0822382665716905
1960-03-01,1.106573962569756
1960-04-01,1.107867224614718
1960-05-01,1.1056941867700891
1960-06-01,1.1271019246501048
1960-07-01,1.1534061820536985
1960-08-01,1.1664490940491772
1960-09-01,1.1701428495136663
1960-10-01,1.165316651437446
1960-11-01,1.1653360909932562
1960-12-01,1.1775905057156786
1961-01-01,1.1813587953339688
1961-02-01,1.190869188881283
1961-03-01,1.1984835567921854
1961-04-01,1.1983226855716644
1961-05-01,1.2089001924281202
1961-06-01,1.1959083724802855
